source_file,policy,pressure,workload,scan_id,offset_after_scan,request_id,ok,prompt_tokens,cached_tokens,hit_rate,ttft_ms,latency_ms
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,31,w4-hot-000174,True,366,340,0.9289617486338798,644.0110467374325,644.0110467374325
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000003,32,w4-hot-000175,True,400,374,0.935,644.8780633509159,644.8780633509159
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000004,1,w4-hot-000176,True,195,2,0.010256410256410256,684.4215728342533,684.4215728342533
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000004,2,w4-hot-000177,True,227,3,0.013215859030837005,686.5428946912289,686.5428946912289
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000004,3,w4-hot-000178,True,259,2,0.007722007722007722,723.1820411980152,723.1820411980152
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000004,4,w4-hot-000179,True,291,2,0.006872852233676976,724.2727167904377,724.2727167904377
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000004,5,w4-hot-000180,True,323,2,0.006191950464396285,725.6582714617252,725.6582714617252
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000004,6,w4-hot-000181,True,355,2,0.005633802816901409,725.5076356232166,725.5076356232166
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000004,7,w4-hot-000182,True,388,2,0.005154639175257732,739.0411831438541,739.0411831438541
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000004,8,w4-hot-000183,True,421,2,0.004750593824228029,740.5748330056667,740.5748330056667
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000004,9,w4-hot-000184,True,454,2,0.004405286343612335,740.5042164027691,740.5042164027691
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000004,10,w4-hot-000185,True,195,2,0.010256410256410256,686.051607131958,686.051607131958
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000004,11,w4-hot-000186,True,234,3,0.01282051282051282,690.3035119175911,690.3035119175911
/root/kv-cache/results/raw_pressure_w4_limit500/w4_pressure_2q_medium.jsonl,2q,medium,w4,000004,12,w4-hot-000187,True,267,3,0.011235955056179775,723.1571860611439,723.1571860611439
